Var1,PO_Cy5,DO_Cy5,IO_Cy5,MI_Cy5,PO_DsRed,DO_DsRed,IO_DsRed,MI_DsRed,PO_EGFP,DO_EGFP,IO_EGFP,MI_EGFP,PO_DAPI,DO_DAPI,IO_DAPI,MI_DAPI
Mouse1,1438,1576,0.0993532593749744,238.783336338917,1387,1672,0.355791954692687,426.322534449289,410,648,0.358494787838285,326.756418688363,69565,162,11891.7316558817,2553.49122546472
Mouse2,3032,3408,0.110264770015996,293.936434466694,6841,6248,0.431602575748152,1154.78876485456,1544,2272,0.258797710191327,300.902014251572,90392,126,9964.14000954252,1927.8802312374
Mouse3,5664,6632,0.0765624186723191,258.305073163277,9761,7928,0.466395205617312,1324.17968776063,3030,3512,0.199322079465829,285.063002099604,102504,225,8087.08748778029,1600.49918265045
