Var1,PO_DAPILp3,PM_DAPILp3,DO_DAPILp3,DM_DAPILp3,IO_DAPILp3,IM_DAPILp3,MI_DAPILp3,PO_Opal520_Lp20,PM_Opal520_Lp20,DO_Opal520_Lp20,DM_Opal520_Lp20,IO_Opal520_Lp20,IM_Opal520_Lp20,MI_Opal520_Lp20,PO_Opal570Lp1_0,PM_Opal570Lp1_0,DO_Opal570Lp1_0,DM_Opal570Lp1_0,IO_Opal570Lp1_0,IM_Opal570Lp1_0,MI_Opal570Lp1_0,PO_Opal620_LP10,PM_Opal620_LP10,DO_Opal620_LP10,DM_Opal620_LP10,IO_Opal620_LP10,IM_Opal620_LP10,MI_Opal620_LP10,PO_Opal690Lp30,PM_Opal690Lp30,DO_Opal690Lp30,DM_Opal690Lp30,IO_Opal690Lp30,IM_Opal690Lp30,MI_Opal690Lp30,PO_No103_Lipofuscin_63x,PM_No103_Lipofuscin_63x,DO_No103_Lipofuscin_63x,DM_No103_Lipofuscin_63x,IO_No103_Lipofuscin_63x,IM_No103_Lipofuscin_63x,MI_No103_Lipofuscin_63x
Human1,64499,63921,72,72,11324.8963417018,11363.9515596054,1037.24154135179,53319,52971,6561,6570,12873.1012630531,12869.7945155696,1526.54017925036,18134,17959,4230,4248,17844.9743216419,17834.5440452941,610.099910617924,14212,13950,1314,1314,11534.543053498,11545.4909206631,293.578450156631,62504,61777,5049,5094,3656.48577471976,3656.69961723096,501.111889851431,3738,0,1584,0,3537.05141134662,NaN,58.9327124265962
Human2,66692,66662,45,45,10223.0857126341,10223.4761451064,713.941009073327,42079,42051,1395,1395,13221.9354903733,13229.9239983376,1373.03243885299,6470,6462,1098,1098,6837.44105333874,6845.46223031474,131.836388455296,4319,4245,18432,18468,454.512653939413,454.718736161602,23.1981436682608,19273,19260,8586,8604,827.964345988547,827.324793660816,82.7460183705325,417,0,324,0,1692.79929433029,NaN,20.0017928992979
Human3,59136,58398,81,81,22018.7430288142,22043.6284890962,1436.90988579334,44496,40372,9243,12105,12232.4525544076,11873.8228830016,1484.09382404338,50918,48515,5328,5364,35401.5421244329,35369.7307777617,2887.38402859322,5072,4956,1854,1836,9783.55011921019,9787.57252619848,146.791711494332,103238,101234,3690,3798,8524.38372684299,8529.49374098868,1519.47562458623,14884,0,2754,0,8277.66259445584,NaN,172.921654716078
