names,RVolume,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Human2,15332,11,11,12391.7272727273,12391.7272727273,2,2,5.5,5.5,11879.75,11879.75,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,21,21,426.857142857143,426.857142857143,17,17,1.47058823529412,1.47058823529412,411.838235294118,411.838235294118,1,1,605,605,1,1,1,1,605,605
Human2,7506,2135,2135,15800.1854800937,15800.1854800937,13,13,276.076923076923,276.076923076923,13556.1462721025,13556.1462721025,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,1,733,733,1,1,5,5,879,879
Human2,10391,5912,5912,19000.4994925575,19000.4994925575,12,12,1301.58333333333,1299.33333333333,16055.8967755041,16070.0637666111,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human3,13360,157,140,15727.7961783439,16250.2714285714,14,15,40.9285714285714,30.0666666666667,12212.9862650195,12166.0649359549,402,401,39030.8308457711,39064.6159600997,18,18,80.5,79.7777777777778,37310.8247656855,37287.5358100632,3,3,7112,7112,2,2,2.5,2.5,8662.625,8662.625,1883,1864,10745.9532660648,10766.8331545064,10,10,1000.2,994.5,10723.3124262579,10729.8194434637
Human3,12790,48,30,10328.8125,10395.9,9,15,76.6666666666667,16.8666666666667,11939.8233861771,11134.2507661923,974,942,43727.5944558522,43858.4766454352,18,18,328.611111111111,316.444444444444,40448.1968399695,40721.662645592,37,36,11985.6486486486,12108.5833333333,8,7,12.5,12.8571428571429,10405.2881884058,10671.5321995465,2094,2090,10504.6332378223,10504.7875598086,18,18,772.944444444444,758.277777777778,10814.5727922471,10852.1108312685
Human3,1727,2,2,9498.5,9498.5,2,2,20.5,20.5,10549.575,10549.575,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human3,7474,2,2,10477,10477,2,2,1,1,10477,10477,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1092,1092,11909.804029304,11909.804029304,40,40,59.325,59.175,11035.2285101883,11030.9064037068,589,589,8925.85398981324,8925.85398981324,11,11,229.818181818182,228.090909090909,8654.885892269,8654.91370928621
Human3,5775,139,139,15154.5467625899,15154.5467625899,8,8,33.875,33.875,12984.2372040452,12984.2372040452,4,4,31490.25,31490.25,1,1,6,6,30364.3333333333,30364.3333333333,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,1,7683,7683,1,1,492,492,9478.37804878049,9478.37804878049
Human3,12,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human3,17646,470,358,12478.8659574468,12675.1480446927,28,47,113.142857142857,50.0851063829787,14351.1120959611,13389.4543469521,1785,1770,39970.287394958,40027.690960452,73,72,46.027397260274,46.3333333333333,36455.8281494211,36517.5221725751,43,42,12581.4651162791,12710.8571428571,9,8,4.88888888888889,5.375,10642.0375816993,11078.9172794118,5281,5248,9648.04658208673,9654.46112804878,37,37,455.054054054054,450.972972972973,8652.34824117726,8658.17538204898
Human3,85,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human3,267,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
