names,RVolume,P_Opal520_Lp20,MP_Opal520_Lp20,MI_P_Opal520_Lp20,MI_MP_Opal520_Lp20,D_Opal520_Lp20,MD_Opal520_Lp20,V_Opal520_Lp20,MV_Opal520_Lp20,MI_D_Opal520_Lp20,MI_MD_Opal520_Lp20,P_Opal570Lp1_0,MP_Opal570Lp1_0,MI_P_Opal570Lp1_0,MI_MP_Opal570Lp1_0,D_Opal570Lp1_0,MD_Opal570Lp1_0,V_Opal570Lp1_0,MV_Opal570Lp1_0,MI_D_Opal570Lp1_0,MI_MD_Opal570Lp1_0,P_Opal620_LP10,MP_Opal620_LP10,MI_P_Opal620_LP10,MI_MP_Opal620_LP10,D_Opal620_LP10,MD_Opal620_LP10,V_Opal620_LP10,MV_Opal620_LP10,MI_D_Opal620_LP10,MI_MD_Opal620_LP10,P_Opal690Lp30,MP_Opal690Lp30,MI_P_Opal690Lp30,MI_MP_Opal690Lp30,D_Opal690Lp30,MD_Opal690Lp30,V_Opal690Lp30,MV_Opal690Lp30,MI_D_Opal690Lp30,MI_MD_Opal690Lp30
Human1,9086,41,41,18448.3658536585,18448.3658536585,3,3,67.3333333333333,67.3333333333333,16031.0009998533,16031.0009998533,7,7,18797.4285714286,18797.4285714286,1,1,16,16,20680.9375,20680.9375,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human1,5173,229,205,14906.0917030568,14590.2292682927,12,12,140.666666666667,134.833333333333,13664.9956469926,13621.0146564499,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human1,30646,14139,14084,18756.2705990523,18762.4333285998,55,55,462.127272727273,458.836363636364,16200.5248555089,16192.7023028059,34,34,15386.5588235294,15386.5588235294,6,6,13.3333333333333,13.3333333333333,15924.9080527497,15924.9080527497,352,348,11283.9857954545,11298.5804597701,17,17,29,27.2352941176471,9659.0486886901,9695.22598491564,1699,1684,4350.27192466157,4359.44299287411,43,44,114.906976744186,111.068181818182,3388.28273833902,3419.57075001559
Human1,8699,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,842,842,21363.4809976247,21363.4809976247,47,47,51.7872340425532,51.7234042553191,19148.485240101,19156.3104230584,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2849,2849,4169.35661635662,4169.35661635662,34,34,294.058823529412,292.117647058824,3890.01334353992,3889.03738084402
Human1,9680,66,66,13400.2575757576,13400.2575757576,6,6,72,72,14694.1722347721,14694.1722347721,1,1,11723,11723,1,1,54,51,23991.962962963,23516.2549019608,1370,1368,12902.6934306569,12909.269005848,42,42,93,92.5,11801.0380357759,11808.4973067809,2701,2700,4242.48315438726,4242.30444444444,41,41,254.878048780488,252.365853658537,4002.84939862512,4004.22677985098
Human1,485,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1,1,12938,12938,1,1,122,122,19457.3278688525,19457.3278688525,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human1,176,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,6,6,16446.8333333333,16446.8333333333,1,1,15,15,17901.5333333333,17901.5333333333,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN
Human1,554,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,167,166,12524.1317365269,12513.4036144578,8,8,158.125,156.25,11783.9967900396,11786.9129621129,186,186,3940.88172043011,3940.88172043011,8,8,455.625,448.125,4092.8137525569,4091.04242921812
Human2,14364,1,1,14668,14668,1,1,68,68,13607.0441176471,13607.0441176471,70,70,6765.34285714286,6765.34285714286,3,3,26,26,6148.11124244812,6148.11124244812,38,38,392.736842105263,392.736842105263,34,34,1.17647058823529,1.17647058823529,390.404411764706,390.404411764706,33,33,838.969696969697,838.969696969697,4,4,8.25,8.25,767.912037037037,767.912037037037
Human2,19099,11607,11592,20601.8172654433,20590.865942029,8,8,3002.125,2999.375,17794.5029676862,17789.4682031544,15,12,5111,5257.33333333333,3,4,6.33333333333333,3.5,5045.17948717949,5095.35714285714,50,39,1312.98,1163.74358974359,6,6,14,11.5,1189.50985883424,1149.66865079365,4,3,769,649,3,3,2.33333333333333,1.66666666666667,742.25,657.888888888889
